,城市,公司名称,学历要求,工作经验,招聘岗位,薪资待遇,职位描述,薪资下限,薪资上限
15,上海市,上海从鲸信息技术有限公司,不限,不限,大数据开发,30000-60000元/月,"岗位职责
1、负责搜索推荐服务数据体系的研发设计和建设，通过数据产品和数据服务等方式，赋能商家、运营的业务增长；

2、负责搜索推荐服务的数据建设、数据服务化的设计、开发、性能优化，为上层分析和挖掘提供可靠、统一的离线+实时数据服务；

3、负责搜索推荐场景的用户画像、正倒排索引开发；

4、负责搜索推荐系统的实时监控大盘、实验指标监控、数据质量监控等功能的开发。

任职要求
1、计算机相关专业，本科及以上学历，1-5年大数据开发相关工作经验，有电商搜索/推荐系统相关研发经验者优先；

2、熟悉Kafka/Spring/MyBatis/Elastic Search/Redis等相关开发技术；

3、精通Java/Python/Scala等至少一门语言，熟悉Hadoop/Spark/Hive/HBase/Flink等大数据研发工具；

4、对流式计算系统有深入的了解，深入掌握Flink DataStream、FlinkSQL、Flink Checkpoint、Flink State等模块，有Flink源码阅读经验优先；

5、熟悉常见消息队列原理，有Kafka、Plusar、RocketMQ等项目源码阅读经验优先；

6、优秀的自我驱动力和责任心，良好的沟通表达能力和团队合作精神，学习能力强有责任心，不断挑战自己。

加分项
1、有海外电商经验者优先，熟悉多国家、多语言环境下的架构设计者优先；

2、大型互联网系统（广告、搜索、推荐）开发经验者优先。",30000,60000
16,上海市,上海正新食品集团有限公司,本科,3-5年,大数据开发,9000-10000元/月,"岗位职责：
1.负责实时和离线数仓ETL过程的设计和开发工作。
2.熟练掌握flinkSql、flinkAPI并支撑过实际业务场景和flink实时场景的开发。
3.熟悉MySQL/MongoDB/SQLServer等常用搜索数据库，掌握Kafka的工作原理和使用。
4.熟悉使用腾讯云/阿里云等大数据开发治理平台，对线上任务进行调优和开发。
5.负责数据仓库的日常管理、维护和监控工作。
6.负责大数据服务优化和核心模块的研发工作，协助团队解决开发过程中的技术难题。
7.熟悉常用的BI report工具，如观远BI、PowerBI等


任职资格：
1.本科及以上学历，3年以上相关工作经验。
2.精通数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际业务场景和相关Flink实时场景的开发。
3.熟悉主流数据库技术，如MySQL、MongoDB、Hive、ClickHouse等。
4.熟悉Linux Shell操作，熟悉Python、Java中的一种或多种开发语言。
5.精通SQL开发与语法，有较好的SQL开发规范和性能调优经验。
6.熟悉Hadoop、Spark、Flink、Kafka、ElasticSearch、ClickHouse,并有相关经验者优先。
7.善于沟通，主动性强，抗压能力好，具备优秀的技术与业务结合能力，有较强的项目推进能力。",9000,10000
17,上海市,星河激荡南京数字科技有限公司,本科,5-10年,大数据开发工程师,15000-20000元/月,"岗位职责：
1，参与主题域设计:分析业务过程、数据分层、设计表结构;
2，参与离线和实时的数据采集、清洗，数据计算逻辑开发、数据测试、报表展现开发;
3，参与业务需求沟通，评估开发人天，制定开发计划;

任职要求：
1、本科及以上学历，计算机、应用数学、统计学等相关专业。5年ETL相关经验，有车企项目经验优先;2、真的实践开发过数据采集、离线、实时ETL作业,OLAP分析和报表统计
3、具有数仓/分层/主题域相关工作经验，精通HiveATA双日/7O
4、熟悉大数据开发流程，了解日常作业的部署和调度;
5、有大数据平台/工具开发经验者优先考虑;
6、良好的语言沟通与表达能力，自我驱动力;
岗位职责：
岗位职责：",15000,20000
18,上海市,深圳市赢时胜信息技术股份有限公司,本科,5-10年,大数据开发,11000-20000元/月,"具备团队管理的经验，做为一个项目团队负责人或者核心骨干，牵头负责团队的研发任务的管理、设计等
开发技能方面:
1、具备扎实的java基础，高并发项目开发经验
2、能熟练使用shell，进行脚本开发
3、熟悉spring、spring boot框架，有项目开发经验
4、熟悉常用中间件，如redis、Kafka、zookeeper等
5、熟悉hive、hbase、mysql、guassdb等数据库技术，有实际项目开发经历，了解ETL流程
6、熟悉主流大数据架构及组件，有实时、离线大数据开发经验",11000,20000
19,上海市,上海库帕思科技有限公司,本科,5-10年,大数据工程师,25000-45000元/月,"工作职责
1、负责大数据平台建设 ，包括架构设计、技术调研、项目落地、客户实施等；
2、负责人工智能需要的或生产的数据预处理、清洗、转换和集成 ，以满足数据分析和数据治理的需求；
3、设计并优化数据存储方案 ，包括数据库、数据湖、 NoSQL数据库、文件数据库等；
4、构建和管理数据模型 ，为机器学习和人工智能应用提供支持；
5、确保数据安全和合规性 ，包括数据加密、访问控制和数据隐私保护；
6、监控系统性能 ，识别瓶颈 ，并提出优化方案；
7、编写技术文档和报告 ，以便其他团队成员理解和使用大数据解决方案。
8、帮助客户进行数据治理指导与支持。

任职资格：
1、本科及以上学历 ，计算机、数学、物理等相关专业；
2、具有5年以上大数据领域工作经验 ，包括但不限于数据处理、数据分析和数据工程；
3、熟悉大数据生态环境、数据仓库技术、数据存储解决方案等；
4、熟练掌握Java等后端语言；
5、有扎实的计算机基础 ，对数据结构和算法有深入了解；
6、有良好的团队合作精神和沟通能力 ，能够快速适应团队工作；
7、能够独立或协作解决复杂的技术问题 ，具有良好的逻辑思维和分析能力；
8、熟悉大模型的训练、部署、服务化相关技术；熟悉大模型相关的数据处理，包括数据爬取、数据增强、数据清洗、数据标注及后处理等。
薪资面议。",25000,45000
20,上海市,南京东新慧科信息技术有限公司,本科,1-3年,大数据开发,10000-12000元/月,"岗位职责:
1.负责大数据平台的开发和维护，包括数据采集、存储、处理和分析等环节;
2.负责数据仓库的设计和建设，保证数据的质量和稳定性;
3.负责数据挖掘和分析，为业务决策提供支持;
4.负责数据可视化和报表开发，为业务人员提供数据支持;
5.负责数据安全和隐私保护，确保数据安全可靠。
任职要求:
1.本科及以上学历，计算机及相关专业;
2. 有2年以上大数据研发经验，对分布式数据计算或者数据分析的原理、架构及使用调优有一定经验者优先；
3. 熟悉Hadoop/Flink//Spark /Hive等任一项主流开源技术，Flink优先；
4.熟练掌握至少一种下列编程语言：Java/Scala；
5.具备良好的沟通表达能力，有责任心，抗压能力强，做事有计划，有条理，逻辑性强。",10000,12000
21,上海市,上海从鲸信息技术有限公司,不限,不限,大数据开发,30000-60000元/月,"岗位职责
1、负责搜索推荐服务数据体系的研发设计和建设，通过数据产品和数据服务等方式，赋能商家、运营的业务增长；

2、负责搜索推荐服务的数据建设、数据服务化的设计、开发、性能优化，为上层分析和挖掘提供可靠、统一的离线+实时数据服务；

3、负责搜索推荐场景的用户画像、正倒排索引开发；

4、负责搜索推荐系统的实时监控大盘、实验指标监控、数据质量监控等功能的开发。

任职要求
1、计算机相关专业，本科及以上学历，1-5年大数据开发相关工作经验，有电商搜索/推荐系统相关研发经验者优先；

2、熟悉Kafka/Spring/MyBatis/Elastic Search/Redis等相关开发技术；

3、精通Java/Python/Scala等至少一门语言，熟悉Hadoop/Spark/Hive/HBase/Flink等大数据研发工具；

4、对流式计算系统有深入的了解，深入掌握Flink DataStream、FlinkSQL、Flink Checkpoint、Flink State等模块，有Flink源码阅读经验优先；

5、熟悉常见消息队列原理，有Kafka、Plusar、RocketMQ等项目源码阅读经验优先；

6、优秀的自我驱动力和责任心，良好的沟通表达能力和团队合作精神，学习能力强有责任心，不断挑战自己。

加分项
1、有海外电商经验者优先，熟悉多国家、多语言环境下的架构设计者优先；

2、大型互联网系统（广告、搜索、推荐）开发经验者优先。",30000,60000
22,上海市,上海正新食品集团有限公司,本科,3-5年,大数据开发,9000-10000元/月,"岗位职责：
1.负责实时和离线数仓ETL过程的设计和开发工作。
2.熟练掌握flinkSql、flinkAPI并支撑过实际业务场景和flink实时场景的开发。
3.熟悉MySQL/MongoDB/SQLServer等常用搜索数据库，掌握Kafka的工作原理和使用。
4.熟悉使用腾讯云/阿里云等大数据开发治理平台，对线上任务进行调优和开发。
5.负责数据仓库的日常管理、维护和监控工作。
6.负责大数据服务优化和核心模块的研发工作，协助团队解决开发过程中的技术难题。
7.熟悉常用的BI report工具，如观远BI、PowerBI等


任职资格：
1.本科及以上学历，3年以上相关工作经验。
2.精通数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际业务场景和相关Flink实时场景的开发。
3.熟悉主流数据库技术，如MySQL、MongoDB、Hive、ClickHouse等。
4.熟悉Linux Shell操作，熟悉Python、Java中的一种或多种开发语言。
5.精通SQL开发与语法，有较好的SQL开发规范和性能调优经验。
6.熟悉Hadoop、Spark、Flink、Kafka、ElasticSearch、ClickHouse,并有相关经验者优先。
7.善于沟通，主动性强，抗压能力好，具备优秀的技术与业务结合能力，有较强的项目推进能力。",9000,10000
23,上海市,深圳市赢时胜信息技术股份有限公司,本科,5-10年,大数据开发,11000-20000元/月,"具备团队管理的经验，做为一个项目团队负责人或者核心骨干，牵头负责团队的研发任务的管理、设计等
开发技能方面:
1、具备扎实的java基础，高并发项目开发经验
2、能熟练使用shell，进行脚本开发
3、熟悉spring、spring boot框架，有项目开发经验
4、熟悉常用中间件，如redis、Kafka、zookeeper等
5、熟悉hive、hbase、mysql、guassdb等数据库技术，有实际项目开发经历，了解ETL流程
6、熟悉主流大数据架构及组件，有实时、离线大数据开发经验",11000,20000
24,上海市,灵云兮信息科技发展上海有限公司,本科,不限,大数据开发,15000-30000元/月,"岗位：大数据开发-od
岗位职责
1、制定合理的大数据领域平台/产品的架构、关键技术策略和路标，指导技术开发工作，确保技术Ready，构建数据平台/数据产品核心技术竞争力
2、独立完成大数据产品迭代, 包括但不限于数据的实时采集，运营分析，数字营销，用户画像，ABTest, 搜索推荐等产品的工程落地，以及数据平台/数据产品的开发，包括代码编写、单元测试、集成测试、静态检查、本地构建、测试环境搭建、问题定位等 
3、按照架构设计原则（全面解耦、服务化/组件化、安全可靠、自动化运维、高效开发、持续演进等）定义数据平台/数据产品的目标架构和演进节奏，识别并突破影响架构竞争力的关键技术；对数据平台/数据产品子系统、模块的需求进行分析，输出设计方案 
4、洞察业界大数据相关产品技术发展方向，对架构的长期演进负责
任职要求
1、计算机、软件、通信等相关专业，或有软件开发项目经验和工作经验； 
2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C等编程语言中的一种或数种，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践； 
4、对数据结构、算法有一定了解； 
5、优选条件： 1）熟悉Java/C/C++中至少一种，有充分的代码开发经验； 2）有IOS/安卓等相关产品开发经验； 3) 熟悉Linux内核； 4) 熟悉硬件和底层驱动相关；                 
学历要求:
本科·统招·一本                                          
薪资福利
年薪范围:
15-40万*12薪",15000,30000
25,上海市,上海元聚网络科技有限公司,本科,3-5年,大数据开发,20000-35000元/月,"【岗位职责】
1、参与数据中台产品设计与数据开发;
2、负责数据仓库主题模型的设计与开发
3、负责数据应用集市以及相关数据需求开发
【任职要求】
1、熟悉数据仓库各类模型建模理论;3年以上工作经验;
2、具有数据仓库模型设计、ETL相关工作经验;
3、熟悉doris/starrocks/clickhouse/hive等至少一种主流数据库技术，并有相关调优经验;
4、精通Flink，有实际实时项目开发经验，精通SQL，有较好的SQL性能调优经验；
5、快速的业务学习能力和良好的逻辑分析能力，具有良好的数据理解能力和数据敏感性；
6、计算机相关基础知识扎实，对解决技术难点有热情，能独立解决问题;
7、有3个以上DW/BI项目设计和开发经验者优先；",20000,35000
26,上海市,上海昇盈云物联网有限公司,本科,3-5年,大数据开发,14000-18000元/月,"1、熟悉Hadoop、Hive、Impala等大数据技术，具有大数据相关2年以上开发经验 
2、熟练掌握HiveQL、impala SQL开发及优化，具备编写复杂SQL及性能调优的能力 
3、有良好的数据分析和数据探索能力，能够快速理解业务需求和逻辑，并在数据库设计和实现 
4、工作积极主动、责任心强，具有良好的沟通表达能力和敬业精神，要会PYTHON",14000,18000
27,上海市,青岛九米传媒有限公司,本科,5-10年,大数据架构,30000-55000元/月,"岗位职责：
1、基于hadoop生态的大数据平台搭建和部署，性能调优工作；
2、承担大数据平台项目的数据采集、存储、分析、BI应用分析工作；
3、负责离线与流式数据的采集、清洗、转换和计算的设计和开发；
4、负责大数据平台的数据仓库的设计和开发工作；
5、负责完善大数据平台相关制度及应用规范；
任职要求：
1、计算机或者相关专业本科及以上学历，5年以上相关工作经验；
2、熟悉linux，具有良好的编程习惯和算法基础 ；
3、熟悉大数据开发相关技术，如hadoop、hive、spark、impala、storm、hbase、oozie、hue、zookeeper、kafka、flume等 ；
4、熟悉大数据仓库建设，有BI开发经验，对多维数据建模有深入理解，有kylin、saiku、mondrian、metebase经验的优先考虑；
5、精通Java、Python、Scala中至少一门开发语言，并能熟练编写数据应用程序；
6、强烈的责任意识，有进取心，有较强的学习能力，理解能力，沟通能力，表达能力。",30000,55000
28,上海市,行吟信息科技上海有限公司,本科,3-5年,大数据SRE,25000-45000元/月,"[ 岗位职责 ]
1、维护大数据引擎（包括Hadoop，Spark，Flink， Kafka，ClickHouse，Doris），推进集群自动化运维，提升多云部署架构下的运维效率；
2、对如上大数据引擎的稳定性、成本、效率负责，在发现定位应急能力、容量性能管理、变更管控、攻防演练、成本治理等方向上持续优化；
3、基于数据业务场景进行最佳选型、诊断和调优，提炼共性问题并完善自动化诊断治理能力，不断提升业务价值

[ 岗位要求 ]
1、计算机相关专业，本科211以上学历；
2、熟悉Hadoop，Spark，Flink， Kafka，ClickHouse，Doris等相关技术原理，并能结合组件原理和业务场景进行调优；
3、熟悉网络相关知识，有跨机房、云经验。擅长troubleshooting，线上问题能不断深入追查；
4、熟练掌握shell、python，有项目开发经验者优先；
5、有大规模数据平台管理经验者优先",25000,45000
29,上海市,浙江九州未来信息科技有限公司,大专,3-5年,大数据运维,15000-20000元/月,"岗位职责：
1.负责AI 平台的运维管理
2.负责用户技术咨询与答疑
3.具备良好的沟通能力和抗压能力
4.学习能动性强

技能要求：
1.具备3年以上大型系统实施、维护经验
2.熟悉Linux系统安装，管理以及优化
3.扎实的网络基础；了解数据中心网络原理和维护优先
4.熟悉Hadoop/Spark/Storm/Hanse/Hive等大数据技术栈；有运维排障、基于业务的平台使用经验优先
5.有基于K8s/Docker等应用容器平台的运维经验
6.熟悉MySQL/Elasticsearch/Zookeeper/Mongodb等开源中间件，具备运维排障能力
7.了解分布式存储Ceph/Hdfs等
8.熟悉Prometheus/Zabbix/Grafana等监控系统系统，针对平台监控提出可优化建议
9.熟悉Java/Python/Go中至少一种开发语言，具备自动化运维能力，可编写脚本用于日常运维工作",15000,20000
30,上海市,河南嘉睿时代信息技术有限公司,本科,5-10年,大数据开发,11000-16000元/月,,11000,16000
31,上海市,上海叠纸科技有限公司,本科,5-10年,大数据运维,20000-40000元/月,"1. 设计、部署和维护大数据平台和集群（如Maxcompute，ADB、Flink、Kafka等）。
2. 管理和优化大数据集群的性能、容量和可用性。
3. 开发和维护自动化运维脚本和工具，提升运维效率。
4. 监控和故障排除大数据平台，确保系统的稳定性和可靠性。
5. 与数据工程和分析团队合作，提供最佳的运维支持。
6. 实施安全措施，确保数据平台的安全性和合规性。
7. 编写和维护运维文档和流程。

任职要求：
1. 至少3-5年大数据平台运维或系统管理员经验，其中2年以上大数据平台管理经验。
2.  在高可用性、高负载的生产环境中管理大数据平台的经验。
3. 有阿里、腾讯、AWS、GCP等云平台上的大数据服务的部署和管理经验
4. 熟悉阿里MC、ADB的架构和使用，能够部署和管理集群，优化作业的性能。
5. 熟练配置和管理Kafka集群，确保消息传递的可靠性和性能，了解并能够使用其他大数据工具和技术如Flink等。
6. 具备大数据业务可观测体系搭建经验，具备诊断和解决大数据平台问题的能力，能够快速响应和处理系统故障。
7. 实施和管理大数据平台的安全措施，如身份认证、访问控制、数据加密等。
8. 确保大数据平台符合相关法律法规和公司内部的合规要求。
9. 熟悉云平台（如阿里、腾讯、AWS、GCP）的容器服务和资源管理。",20000,40000
32,上海市,杭州双久科技有限公司,本科,5-10年,大数据开发,25000-30000元/月,"你带来了什么
•5~8年基于大数据平台的可扩展数据湖/数据仓库开发经验。
•必须有良好的Python编程经验。
•对Spark SQL / Hive SQL语言有深入的了解和经验，熟悉Presto或其他MPP数据库。
具备机器学习知识优先考虑。
有使用气流或其他数据仓库调度工具的经验。
•熟悉AWS S3, EMR, lambda和AWS组件或其他云上的类似技术堆栈。
•在产品和工程之间建立积极关系的良好技能。
•能够快速掌握新的编程语言、技术和框架。
•具有敏捷和Scrum开发流程的工作经验。",25000,30000
